Title,Price,Link,Details,Extra Details,Description,Detailed Price
STAN NA DAN Banjaluka Banja luka 066201302,50 KM,https://olx.ba/artikal/64943084?recommendation_source=homepage,Tip nekretnine Stan | Broj soba Garsonjera | Check in (sat) 12 | Check out (sat) 10 | Kvadratura 65 | Datum objave 20.11.2024,"Detaljni opis
Dobrodošli u naše moderno uređene apartmane, idealne za odmor i opuštanje u udobnom i elegantnom ambijentu. Nalazimo se na odličnoj lokaciji, (Božidara Miće Babića) svega 5 minuta od centra grada, što vam omogućava brz pristup svim važnim sadržajima.

Naši apartmani imaju kapacitet od 4 do 6 osoba i savršeni su za porodice, prijatelje ili manje grupe.
• Cijene za dvije osobe:
• Dnevni odmor (do 18h, nakon 18h se računa kao noć): 50 KM
• Radni dani(noćenje): 70 KM
• Vikend (petak, subota, nedjelja-noćenje): 80 KM

Za više od dvije osobe, cijene se formiraju prema dogovoru, kako bismo osigurali da vaše potrebe budu u potpunosti zadovoljene.

Pozivamo vas da nas kontaktirate za više informacija ili rezervaciju. Dobro nam došli – uživajte u svom boravku!
Prikaži više",STAN NA DAN Banjaluka Banja luka 066201302,50 KM
Stan na dan vila banjaluka banja luka jacuzzi djakuzi vikendica,250 KM,https://olx.ba/artikal/65849892?recommendation_source=homepage,Tip nekretnine Stan | Broj soba Garsonjera | Check in (sat) 12 | Check out (sat) 10 | Kvadratura 40 | Datum objave 11.01.2025,"Detaljni opis
Novo u ponudi! Luksuzni apartman sa modernim djakuzijem, smješten uz prelijepi pogled na rijeku Vrbas. Djakuzi se nalazi u prostoru sa staklenim zidom, kroz koji možete uživati u panoramskom pogledu, dok LED svijetla stvaraju savršen ambijent za opuštanje. Apartman je kompletno opremljen, uključujući kuhinju, kupatilo i udoban bračni krevet, dok ugaona garnitura u dnevnoj sobi nudi dodatni komfor. Idealno za sve koji žele spoj luksuza, prirode i potpune privatnosti. Ovaj apartman je savršen izbor za nezaboravan odmor.",Stan na dan vila banjaluka banja luka jacuzzi djakuzi vikendica,250 KM
Stan na dan Banja Luka Courtyard Meriot(2 SPAVACE SOBE) APARTMAN,70 KM,https://olx.ba/artikal/39240777?recommendation_source=homepage,Check in (sat) 13 | Check out (sat) 11 | Godina izgradnje 2015+ | Sprat 4 | Vrsta grijanja Struja | Lift ✓ | Klima ✓ | Parking ✓ | Tip nekretnine Apartman | Broj soba Dvosoban (2) | Kvadratura 65 | Datum objave 01.08.2020,"Detaljni opis
065 981 368(viber,whatsapp)
Luksuzno opremljen stan u centru.
Stan posjeduje:
2 sobe sa bracnim krevetima
Potpuno opremljenu kuhinju
Klimu
Internet i tv sa 500 programa
Parking(besplatan)
Video nadzor
U zgradi se nalazi supermarket AS
u neposrednoj blizini na 20metara
nalazi se hotel Meriot,kafić Everest
Na 150metara nalazi se hotel 7Bousna,
Narodno pozoriste,Gospodska ulica
Hram Hrista Spasitelja i samui centar grada.
Cijena boravka u stanu:






-ulazak u apartman od 13h
-izlazak iduci poslednji dan do 11h
-iznos za koristenje stana placa se po ulasku u stan.
-NAJSTROZIJE ZABRANA PROSLAVA ZURKI ROĐENDANA FESTI,OBAVEZNO PRIDRZAVANJE KUCNOG REDA
DOBRO NAM DOSLI!!!🙂
Sve informacije na broj
065-981-368 (viber,WhatsApp,sms)

Prikaži više",Stan na dan Banja Luka Courtyard Meriot(2 SPAVACE SOBE) APARTMAN,70 KM
Stan na dan Banja Luka Centar,30 KM,https://olx.ba/artikal/60018590?recommendation_source=homepage,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 45 | Check in (sat) 12 | Check out (sat) 10 | Datum objave 02.04.2024,"Detaljni opis
Apartman se nalazi u centru grada pored zgrade MUP-a, u neposrednoj blizini tvrdjave Kastel.
Udaljenost od trga 300 m.

Stan posjeduje:
1 sobu sa bračnim krevetom i prostorom za odlaganje.
Potpuno opremljenu kuhinju (mašina za sudje, rerna, ploča, frižider, komplet posudje i pribor za jelo.
Kupatilo (tuš kabina, veš mašina, fen, peškiri i pribor za higijenu).
Dnevni boravak i trpezariju.
Stan posjeduje klimu, centralno grijanje, wifi, kablovsku tv.
Parking ispred zgrade.

Cijena boravka u stanu:
-dnevni odmor 30 KM
-noćenje do 2 osobe 50 KM
-noćenje vikendom 60 KM
-boravak za više od 2 osobe po dogovoru

-ulazak u apartman od 13h
-izlazak iduci,poslednji dan do 11h
-iznos za koristenje stana placa se po ulasku u stan.
-ZABRANA PROSLAVA, ŽURKI, ROĐENDANA,OBAVEZNO PRIDRŽAVANJE KUĆNOG REDA!

Sve informacije na broj: 066-141-058 (viber,sms)

DOBRO NAM DOŠLI!!!🙂
Prikaži više",Stan na dan Banja Luka Centar,30 KM
Stan Na Dan Banja Luka STROGI CENTAR GARAZA JEVREJSKA APARTMAN,60 KM,https://olx.ba/artikal/51758674?recommendation_source=homepage,Tip nekretnine Apartman | Broj soba Jednosoban (1) | Kvadratura 54 | Check in (sat) 13 | Check out (sat) 11 | Sprat 2 | Vrsta grijanja Centralno (gradsko) | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra Do 100 m | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 10.02.2023,"Detaljni opis
065 981 368(viber,whatsapp)
LUX APARTMAN U STROGOM CENTRU GRADA
Ulazak u sta od 13h izlazak do 11h zadnji dan boravka.
U neposrednoj blizini sve imstitucije i znamenitosti(opstina,Banski dvor,Hram Hrista Spasitelja.Hotel Bosna...)
Stan posjeduje sve kucanske aparate posuđe peskire i ostalo
Stan posjeduje
-KLIMA
-INTERNET I TV
-TERASA
Cijena najma





STROGO ZABRANJENE ZURKE I OKUPLJANJA!!!
Info na broj
065 981 368(sms viber whatsapp)
Prikaži više",Stan Na Dan Banja Luka STROGI CENTAR GARAZA JEVREJSKA APARTMAN,60 KM
Stan na dan Sarajevo - Novo Sarajevo,50 KM,https://olx.ba/artikal/65801312?recommendation_source=homepage,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 28 | Check in (sat) 15 | Check out (sat) 11 | Sprat 1 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra 900 do 1000 m | Blizina apoteke Do 100 m | Blizina javnog prevoza 300 do 400 m | Pet friendly Ne | Zabranjeno pušenje ✓ | WIFI ✓ | Klima ✓ | Datum objave 08.01.2025,"Detaljni opis
Stan na dan ili dnevni boravak DIVNA APARTMAN Grbavica pored škole Grbavica 1 sa besplatnim parkingom ispred zgrade 🚙 i za maksimalno 4 osobe.


🚖   MOGUĆNOST ORGANIZOVANJA
            PREVOZA UZ DOGOVOR   🚖

Moderno uređen i opremljen (frizider, ploča za kuhanje, mikrovalna, fen,pegla, daska za peglanje, peškiri, šampon, toalet papir...) te LCD tv, wi-fi internet, klima/inverter.

Sav navedeni sadržaj pružila svakom gostu svu udobnost tokom boravka.

Cijena boravka u stanu:
* dnevni boravak 50KM od 12h do 17h
* nocenje 60KM jedna osobao
* svaka naredna osoba +10KM


* noćenje po dogovoru ovisi o broju osoba i broju noci

Vrijeme ulaska i izlaska po dogovoru.

ZABAVE NISU DOZVOLJENE
KUCNI LJUBIMSCI NISU DOZVOLJENI
PUSENJE NIJE DOZVOLJENO
066115555
Prikaži više",Stan na dan Sarajevo - Novo Sarajevo,50 KM
Stan na dan Sarajevo sa parking mjestom,70 KM,https://olx.ba/artikal/62639683?recommendation_source=homepage,Tip nekretnine Apartman | Broj soba Jednoiposoban (1.5) | Kvadratura 36 | Check in (sat) 14 | Check out (sat) 10 | Blizina javnog prevoza Do 100 m | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 16.07.2024,"Detaljni opis
Stan na dan potpuno nov.
Stan se nalazi na prvom spratu sa liftom.
Sastoji se od dnevnog boravka,spavace sobe i kupatila.
Kuhinja i kupatilo su potpuno opremljeni sa svim potrebnim stvarima.

U sklopu zgrade se nalazi privatno parking mjesto u garazi.
Stan ima sve potrebno za ugodan boravak porodice ili parova. (klima,kablovska,internet,sredstva za higijenu,pice dobrodoslice)
Zgrada je izgrađena 2024.god

Viber/WhatsApp: +38762168246
Prikaži više",Stan na dan Sarajevo sa parking mjestom,70 KM
Ekskluzivni Stan na dan Ilidža Pejton Centar ilidze,80 KM,https://olx.ba/artikal/61470731?recommendation_source=homepage,Tip nekretnine Stan | Broj soba Trosoban (3) | Kvadratura 50 | Check in (sat) 12 | Check out (sat) 13 | Sprat Visoko prizemlje | Vrsta grijanja Plin | Minimalan broj noćenja Više od 5 | Blizina prodavnice Do 100 m | Blizina restorana 200 do 300 m | Blizina centra 300 do 400 m | Blizina apoteke 100 do 200 m | Blizina javnog prevoza 200 do 300 m | Krevetić za bebe ✓ | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 29.05.2024,"Detaljni opis
Luksuzno opremljen i renoviran  apartman sa ⭐ ⭐⭐⭐⭐ Stan na dan Una ilidza Pejton






-blizina gradskog prijevoza 300 Metara do -Centra ilidze 🚋🚎






-besplatan javni parking 🅿️






-kapacitet pet osoba 🧍‍♂️🧍‍♀️🧍🧍‍♀️🧍‍♂️🧍






-krevetac na zahtjev 🚼






-wifi 🛜, IPTV📺 i Netflix






-veš mašina i sušilo za kosu






-posteljina i peškiri






-sredstva za higijenu🪥🪒🧴🩹🧻






-kuhalo i topli napitci






-Klima Inverter






-Alu Roletne na daljinski






Za sve informacije +387 61 048 131 Viber







Dnevni Boravak za 2. osobe 2h do3h 50KM .









Noćenje od za 2.osobe 80KM. ulazak u 13:00h izlaz u 11:00h




ZA vise od 2 Osobe se plaća po osobi 10km



Whatsapp: +38761048131


Viber:+38761048131


Za sve informacije stojimo vam na raspolaganju

















STOP PUSENJE STROGO ZABRANJENO







Za rezervacije Molimo vas da kontaktirate navedeni broj telefona




Viber ili whattapp




+38761048131
Prikaži više",Ekskluzivni Stan na dan Ilidža Pejton Centar ilidze,80 KM
STAN NA DAN ZENICA CENTAR - WIFI - LUX APARTMAN 1 - 064 409 4444,75 KM,https://olx.ba/artikal/64356283?recommendation_source=homepage,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 48 | Check in (sat) 19 | Check out (sat) 09 | Sprat 3 | Vrsta grijanja Centralno (gradsko) | Minimalan broj noćenja 1 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra 200 do 300 m | Blizina apoteke Do 100 m | Blizina javnog prevoza Do 100 m | Pet friendly Ne | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 22.10.2024,"Detaljni opis
STAN NA DAN ZENICA
LUX APARTMAN 1


Nudimo novouređeni stan na atraktivnoj gradskoj lokaciji, spreman za izdavanje odmah, bilo na dan ili kraći vremenski period.

Stan se nalazi u blizini svih potrebnih sadržaja:

* parking
* samoposluga
* bolnica
* kafići
* restorani
* slastičarna
* apoteka
* pekara
* banka

Svi navedeni objekti su na dohvat ruke, što ga čini idealnim za kratkoročni boravak.

Opremljen je modernim namještajem i svim potrebnim aparatima, pružajući udobnost i funkcionalnost. Savršeno je mjesto za opuštanje ili rad, a zahvaljujući svojoj lokaciji, lako možete istražiti sve što grad nudi, i uživati u ljepotama Zenice.


Potpuno opremljen stan,

kuhinja - (rerna, ploča, frižider, mašina za suđe, kuhalo, komplet posuđe)

Dnevni borak sa kuhinjom i šankom za ručavanje, kupatilo i spavača soba.

Stan posjeduje klimu, centralno grijanje i kablovsku.

Cijenovnik :
DNEVNI ODMOR - (DO 18:00)  - 50,00KM
NOĆENJE DO 2 OSOBE - 70,00KM
NOĆENJE VIKENDOM - 80,00KM

Boravak za više od dvije osobe po dogovoru.


Ulazak/izlazak iz stana po dogovoru.

Iznos za korištenje stana plaća se po ulasku u stan.





Za više informacija i rezervacije, slobodno nas kontaktirajte na broj :
+387644094444


Dobro nam došli - LUX APARTMAN 1️⃣
Prikaži više",STAN NA DAN ZENICA CENTAR - WIFI - LUX APARTMAN 1 - 064 409 4444,75 KM
Stan na dan Banja Luka,,https://olx.ba/artikal/52189687?recommendation_source=homepage,Lift ✓ | Broj soba Jednosoban (1) | Kvadratura 37 | Sprat 7 | Vrsta grijanja Centralno (gradsko) | Tip nekretnine Stan | Godina izgradnje 1980 do 1989 | Parking ✓ | Pet friendly Ne | Datum objave 12.03.2023,"Detaljni opis
Izdaje se stan na dan, na Mejdanu kod Picerije Perla na atraktivnoj lokaciji pored same obale Vrbasa gde dominira Tvrdjava Kastel i Banjalucki Splav. Stan je udaljen od centra grada svega 200m. Cena stana za dve osobe je 50 km po danu. Informacije na telefon 066/354-354 (viber, poziv) Instagram: eliksirapartmani",Stan na dan Banja Luka,50 KM
